asvid,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9,taxonomy
0330eafda3d83e52debfbf726f022044,0,0,0,0,0,0,0,0,4,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Pseudovorticella; s__Pseudovorticella_sp.
b3e101137e8f0357c3e355ebab2c6c58,0,0,0,0,0,1,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
c75d3f9cb79f9be33c0aaf98506fd940,0,0,2,0,5,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
782595698a2a70e94b80f27afa478dcc,0,0,0,0,0,1,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
e948cc89a10c62e6528bce152a1c5817,3,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Chloroplastida; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Sphaeropleales; g__Desmodesmus; s__Desmodesmus_sp.
af06968066fc25035e7ad69aeee4704b,20,25,0,0,0,0,0,12,0,6,0,16,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__Acineta_tuberosa
49ce83a33d73b5fd8696d74fc54452b2,0,0,0,1,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Duboscquella; s__uncultured_eukaryote
6a34410b28a560cf53d629defd516abe,0,0,0,0,0,0,0,0,1,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Pseudovorticella
dc539e8ac88e04827e7de42f4845f801,0,0,0,0,0,0,0,0,1,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Vaginicola; s__Vaginicola_crystallina
9d49747c86eff70863d3a243cb31940c,0,0,0,0,0,0,0,0,0,0,1,0,d__Eukaryota; k__Stramenopiles; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Thraustochytriaceae; g__Aplanochytrium; s__Labyrinthuloides_minuta
f121917158421af43507bb106b19b58e,0,0,0,0,0,0,0,0,0,2,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__Acineta_tuberosa
00ddb3f10f6181eec9097c6b364523a4,0,0,0,0,0,0,0,0,0,0,0,1,d__Eukaryota; k__Holozoa; p__Holozoa; c__Choanoflagellida; o__Craspedida; f__Salpingoecidae; g__Salpingoeca; s__Salpingoeca_urceolata
32e9bacff542f61ac75743be97d39253,0,0,0,0,0,0,0,0,0,0,5,0,d__Eukaryota; k__Stramenopiles; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Labyrinthulaceae; g__Labyrinthula; s__uncultured_eukaryote
b440ee337501df49dcd59e1a06ed31ab,0,0,0,0,0,0,0,0,0,1,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__uncultured_eukaryote
460e1e3ccba4726cf303abd9b10fa6b2,0,0,0,0,0,0,0,0,0,0,0,18,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Holosticha; s__uncultured_marine
d99fb819e05be433d71010b2871b67b2,0,0,0,0,0,0,0,0,2,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Acineta; s__Acineta_tuberosa
1089c2970c6c669ddccedae95c6d669d,0,0,2,16,7,0,1,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea
